source_pubkey,source_alias,target_pubkey,target_alias,capacity_sats,fee_base_msat,fee_rate_ppm,max_htlc_sats,cltv_delta,disabled,source_last_update,target_last_update,source_channels,target_channels,source_total_cap,target_total_cap
03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,03a17ec2c693c82d7b8d6616dcaf57cbfb0df506045612e08c9580b0c55dda2c1d,Middle Way Testnet4,5000000,1000,500,4950000,144,1,1780140912,1763038567,7,2,33486654,5080000
030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,5000000,1000,1,4950000,80,0,1780169216,1780140912,10,7,25900000,33486654
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,2000000,1000,1,1980000,80,0,1780164254,1780089371,25,11,263426937,33174232
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,2000000,1,500,1980000,80,0,1780089371,1780140912,11,7,33174232,33486654
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,03d419a733a559f681fff7964bd3d722f95ac48fee0f7aa6656e19523a7581b2a1,clntn2.osys.com,2000000,1,500,2000000,80,1,1780089371,1749017240,11,1,33174232,2000000
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,400000,1000,10,396000,6,0,1750061027,1750061027,10,11,133525022,131190022
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,100001,1000,10,99001,6,0,1750061027,1750061027,10,11,133525022,131190022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03b2cdc04988685c522c709133905d6f54746214a2e79e75792f0e79e41ac00cc3,03b2cdc04988685c522c,500000,1000,1,495000,80,0,1780164254,1780133841,25,2,263426937,1000000
0278b15a6d3efa5b9a2efacf7724e820d32669ce446e90364d25623d91a8bab337,,031e00e8e827d3c370b078f978c623a1471c6b282a1b232c6edd409360dec4d0ab,,100000,0,0,0,0,0,0,0,1,1,100000,100000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,026e4f5eeb38cb3d1b353cf04a3bb5f6bcd370aa3fa7252315894fedce3a46b06b,testhouse,100000,1000,1,99000,80,1,1780164254,1770027215,25,3,263426937,400000
026e4f5eeb38cb3d1b353cf04a3bb5f6bcd370aa3fa7252315894fedce3a46b06b,testhouse,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,100000,1000,1,99000,80,1,1770027215,1780089371,3,11,400000,33174232
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,500000,1000,1,500000,80,0,1780164254,1750061027,25,10,263426937,133525022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,100000,1000,1000,99000,80,0,1780164254,1780089371,25,11,263426937,33174232
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,100000,1000,1000,100000,80,0,1780164254,1750061027,25,10,263426937,133525022
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,10000000,100,1000,10000000,144,0,1780159483,1750061027,8,10,75000000,133525022
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,10000000,100,1000,9900000,144,0,1780159483,1780164254,8,25,75000000,263426937
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,10000000,100,1000,9900000,144,0,1780159483,1780140912,8,7,75000000,33486654
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,10000000,100,1000,9900000,144,0,1780159483,1780089371,8,11,75000000,33174232
0232f25ae884fdf830b14f39c0c9f356e15b48b2858096fc6d4e82b68e7833d2af,VIOLETPHOTO-v25.05,023a6dedb320ed414ebdd9c04b1608e80208fb892cd927c8257ada35c23e91cb8c,SLICKERCHIPMUNK-v25.05,21000,1,10,20454,6,0,1754500591,1754500591,1,2,21000,221000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,80000,1000,1,79200,80,1,1780164254,1755006770,25,4,263426937,320000
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
0307537a074668fb5632ed8db476982db44f956d9dc562fe38a58f6df7b004229f,,03a17ec2c693c82d7b8d6616dcaf57cbfb0df506045612e08c9580b0c55dda2c1d,Middle Way Testnet4,80000,0,0,0,0,0,0,1763038567,1,2,80000,5080000
